,index,Unnamed: 0,id,user_location,text,created_at,username,lang,retweet_count,reply_count,like_count,quote_count
109,633,633,1464526304561139717,"Victoria, BC","If you're siding with forced lockups, mandatory shots, passports, and other COVID related bigotry, you're so far in the wrong as to defy belief. https://t.co/4yMo6wvOrw",2021-11-27 09:27:35+00:00,koribrus,en,0,0,0,0
110,939,939,1464852498112466946,Duncan BC,"Woo Hoo! ""Despite enforcing a national lockdown, mask mandates and the prospect of mandatory vaccination, members of the Austrian government enjoyed a gala evening without wearing masks.

They are taking the piss out of us."" #DoNotComply https://t.co/tXatBubzhp",2021-11-28 07:03:45+00:00,IMektin,en,0,0,3,1
111,457,457,1464367300044374025,"Toronto, Ontario, Canada","Does shopping affect how much financial assistance you can receive and/or your salary?

Its seems salaries are directly affected.

Did employees and former employees hit by covid-19 become double victims by not being able to receive any financial assistance and/or",2021-11-26 22:55:45+00:00,AmandaRisser1,en,0,1,0,0
112,755,755,1464677391742246928,Canada,FACT: The most gullible segment of society are those between the ages of 18 &amp; 36. The key group for covid marketing? Coincidence?,2021-11-27 19:27:57+00:00,nixon_mike,en,0,0,0,0
113,296,296,1464278733674713128,"Levis, Qc.",Fears for Christmas as experts warn Botswana variant could 'already be here' | Daily Mail Online https://t.co/yYprgxRb9t,2021-11-26 17:03:49+00:00,dystoman,en,0,2,1,0
114,1005,1005,1464977295932891136,"Toronto, Ontario",If COVID-19 could tweet: https://t.co/qeWu4Zdopg,2021-11-28 15:19:39+00:00,telepattey,en,1,0,0,0
115,658,658,1464596774304325633,"Thompson, Manitoba",What are you grateful for today?  I am grateful that the covid vaccination is available for kids 5 and up. https://t.co/8afYeUAJQH,2021-11-27 14:07:36+00:00,ZBettess,en,1,2,11,1
116,188,188,1464198163171000320,Canada,I wonder how unconcomfofortable the new covid variant comingg from Africa makes all of the anti vaxxers.,2021-11-26 11:43:40+00:00,SweetTreat80,en,0,1,0,0
117,168,168,1464176078491205640,"Vancouver, British Columbia",No letting up: Sudbury’s health unit reports 47 new cases of COVID-19 https://t.co/33iRzX4NQa https://t.co/82ADF0rNQa,2021-11-26 10:15:54+00:00,starvancouver,en,0,0,0,0
118,662,662,1464598803953160203,Canada,"1/2 #COVID19 key concerns 🇨🇦: nationally, daily case counts are slowly creeping up so we need to maintain a high degree of caution to avoid a rapid acceleration. Emergence of #Omicron, a new #VariantOfConcern, reinforces the need for caution. https://t.co/UQTuNlUW4o",2021-11-27 14:15:40+00:00,CPHO_Canada,en,32,70,137,7
