,index,Unnamed: 0,id,user_location,text,created_at,username,lang,retweet_count,reply_count,like_count,quote_count
52,363,363,1464312947509841924,"St. John's, NL",Canada closing borders to citizens from seven southern African nations https://t.co/iF8FxSrVG0,2021-11-26 19:19:46+00:00,SteveBartlett_,en,0,0,1,0
53,367,367,1464314950877208583,Canada,Conservative MP Richard Lehoux tests positive for COVID-19 https://t.co/pkgKlA0KS6 .Global has had this on for quite a while now. WTF is the reason? Are they doing the job for Trudeau pushing scare tactics?,2021-11-26 19:27:44+00:00,_abiddulph,en,0,0,1,0
54,376,376,1464318990281445379,"Toronto, Ontario",New covid 19 variant. Safe travels everyone. https://t.co/TxxZ4qBi4x,2021-11-26 19:43:47+00:00,XiyaOuyang,en,0,0,0,0
55,379,379,1464321034711023617,"Hamilton, Ontario","New research from @McMasterU in #HamOnt suggests the COVID-19 pandemic has had a significant impact on the mental health of adults over 50. 

The level of depressive symptoms also increased over time.

https://t.co/wpsibEHrXH",2021-11-26 19:51:55+00:00,inthehammer,en,0,0,0,0
56,396,396,1464329016920481800,"New Glasgow, Nova Scotia","Nov. 26: Nova Scotia reports 28 new COVID-19 cases, more school exposures | SaltWire https://t.co/aKc5SnUosv https://t.co/nEVh8fGPGf",2021-11-26 20:23:38+00:00,ngnews,en,0,0,0,0
57,397,397,1464329004937367563,"Toronto, Ontario","You cannot solve a global problem with national thinking. This is true of COVID, climate change, economic issues, etc. https://t.co/Yehtvfe8tG",2021-11-26 20:23:35+00:00,MikeRiverso,en,0,1,0,0
58,401,401,1464333089384058886,"Saskatchewan, Canada",Next week’s #Yorkton Vaccine clinics https://t.co/sv1wEIKliY,2021-11-26 20:39:49+00:00,KatelinCuthill,en,2,0,14,1
59,411,411,1464339161893249030,"Montreal, Canada","https://t.co/Yptsw4F4gO

🔥 White House imposes travel restrictions for Africa amid new COVID-19 variant

#SOUTHAFRICA",2021-11-26 21:03:56+00:00,taypeinternat,en,2,0,2,0
60,425,425,1464345181088534538,Canada,"HEY EVERYBODY!
I got the most wonderful news today. After some research into my multiple anaphylatic allergies vs vaccine situation, it was determined I can get vaxxed!!
I legit burst into tears. It's been so stressful not being able to get the vax.
I'm beyond relieved. https://t.co/esbx87UHox",2021-11-26 21:27:52+00:00,LangWalsh12,en,0,2,12,0
61,426,426,1464345163526987781,Canada,"This is reality of many applicants of 2016 outland spousal waiting interview,5 years. Is COVID an excuse? we don’t think so. 

We look forward @SeanFraserMP  you help Canadians, their pain at this point is unimaginable. #IRCCbacklog #prioritizefamilysponsorship https://t.co/iO6SZdCFC7",2021-11-26 21:27:47+00:00,RealSSAdvocates,en,3,0,4,0
62,459,459,1464371376408641549,"New Westminster, BC.",Former FDA Commissioner: US Travel Restrictions Over New COVID Strain 'Counterproductive' https://t.co/v01uy5LtLJ,2021-11-26 23:11:57+00:00,BradPorcellato,en,0,0,0,0
